"Thématiques","Critères","Accueil","Espace Plaisancier","Mentions légales","Accessibilité","FAQ","Aide",Mon tableau de bord (mode connecté),Déclarer la cession / vente d'un navire (mode connecté)
"1","1","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”. Les 4 images de la page n'ont pas d'attribut `alt`.","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”.
L'icône « burger » n’a pas d'alternative. Il manque un attribut aria-label=""Mon compte"".
Ce bouton est-il vraiment indispensable ? On pourrait imaginer que le lien vers mon compte soit sur le nom de la personne et juste avoir un bouton de déconnexion à la place du burger menu.","nc|!F!Les icônes svg n'ont pas d'alternatives : home, menu, retour"
"1","2","na","na","na","na","na","na",c,c
"1","3","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” 
Dans ”Les actus de la mer”, les images doivent avoir un alt=””","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer”, l'image FranceConnect devrait avoir un alt=""S'identifier avec FranceConnect"" ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ",nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer”,nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer”
"1","4","na","na","na","na","na","na",na,na
"1","5","na","na","na","na","na","na",na,na
"1","6","na","na","na","na","na","na",na,na
"1","7","na","na","na","na","na","na",na,na 
"1","8","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil"""
"1","9","na","na","na","na","na","na",na,na
"2","1","na","na","na","na","na","na",na,na
"2","2","na","na","na","na","na","na",na,na
"3","1","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","c","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.",c,"nc|La distinction entre les étapes passés ou à venir n'est faite que par la couleur. Ajouter un attribut `aria-current=""page""` sur l'élément `<li>` correspondant et éventuellement prévoir un traitement graphique indiquant l'étape en cours."
"3","2","nc|!F!Le contraste de la mention ""Publié le 05/01/2022"" n'est pas sufficant","c","c","c","c","c","nc|!F!Le contraste entre l'astérisque rouge et le fond blanc n'est pas suffisant. De même pour le contrsate entre les messages d'erreur  du champ de recherche (`class=""mat-error""`)",nc|!F!Le contraste entre l'astérisque rouge et le fond blanc n'est pas suffisant. De même pour le contrsate du pourcentagedu total des parts de (co)propriété.
"3","3","na","na","na","na","na","na",c,c
"4","1","na","na","na","na","na","na",na,na
"4","2","na","na","na","na","na","na",na,na
"4","3","na","na","na","na","na","na",na,na
"4","4","na","na","na","na","na","na",na,na
"4","5","na","na","na","na","na","na",na,na
