"Règle","Valeur"
"3",""
"7",""
"15","NA"
"16","C"
"17",""
"22",""
"26",""
"29",""
"57",""
"58",""
"59",""
"61",""
"62","NC"
"67",""
"69",""
"74",""
"77",""
"78",""
"85",""
"88","NC"
"90",""
"98",""
"99",""
"105",""
"112",""
"113",""
"116",""
"119",""
"120",""
"131",""
"132",""
"135",""
"143",""
"144",""
"151",""
"160",""
"161",""
"163",""
"166",""
"168",""
"177",""
"189",""
"190",""
"192",""
"193",""
"194",""
"198",""
"207",""
"212",""
"213",""
"216",""
"217",""
"219",""
"220",""
"222",""
"223",""
"227",""
"232",""
"233",""
