Thématiques,Critères,Page d'accueil  (P1)|https://crous-rdv-test.vtech.fr/fr,Page plan du site  (P2)|https://crous-rdv-test.vtech.fr/fr/sitemap,Page de mentions légales  (P3)|https://crous-rdv-test.vtech.fr/fr/mentions-legales,Page accessibilité (P4)|https://crous-rdv-test.vtech.fr/fr/accessibility,Liste des sujets de rendez-vous (P5)|https://crous-rdv-test.vtech.fr/fr/search?organism=af1c4f4e-fc13-11e5-9696-5254102fff02&place=afcfd2f6-fc13-11e5-9696-5254102fff02&topic=866ed2c8-0a4a-11e7-a289-5254102fff02,Liste des rendez-vous (P6)|https://pp.messervices.etudiant.gouv.fr/rdv_test/fr/appointments/scheduled,Page d'aide (P7)|https://crous-rdv-test.vtech.fr/fr/help
1,1,c,na,na,na,c,c,na
1,2,na,na,na,na,na,na,na
1,3,c,na,na,na,c,c,na
1,4,na,na,na,na,na,na,na
1,5,na,na,na,na,na,na,na
1,6,na,na,na,na,na,na,na
1,7,na,na,na,na,na,na,na
1,8,na,na,na,na,na,na,na
1,9,na,na,na,na,na,na,na
2,1,na,na,na,na,na,na,na
2,2,na,na,na,na,na,na,na
3,1,c,c,c,c,c,c,c
3,2,c,c,c,c,c,c,c
3,3,c,c,c,c,c,c,c
4,1,na,na,na,na,na,na,na
4,2,na,na,na,na,na,na,na
4,3,na,na,na,na,na,na,na
4,4,na,na,na,na,na,na,na
4,5,na,na,na,na,na,na,na
4,6,na,na,na,na,na,na,naw
4,7,na,na,na,na,na,na,na
4,8,na,na,na,na,na,na,na
4,9,na,na,na,na,na,na,na
4,10,na,na,na,na,na,na,na
4,11,na,na,na,na,na,na,na
4,12,na,na,na,na,na,na,na
4,13,na,na,na,na,na,na,na
5,1,na,na,na,na,na,na,na
5,2,na,na,na,na,na,na,na
5,3,na,na,na,na,na,na,na
5,4,na,na,na,c,c,c,na
5,5,na,na,na,c,c,c,na
5,6,na,na,na,c,c,c,na
5,7,na,na,na,c,c,c,na
5,8,na,na,na,na,na,na,na
6,1,c,c,c,c,c,c,c
6,2,c,c,c,c,c,c,c
7,1,c,na,na,na,c,c,na
7,2,na,na,na,na,na,na,na
7,3,c,na,na,na,c,c,na
7,4,na,na,na,na,na,na,na
7,5,na,na,na,na,c,na,na
8,1,c,c,c,c,c,c,c
8,2,c,c,c,c,c,c,c
8,3,c,c,c,c,c,c,c
8,4,c,c,c,c,c,c,c
8,5,c,c,c,c,c,c,c
8,6,c,c,c,c,c,c,c
8,7,na,na,na,na,na,na,c
8,8,na,na,na,na,na,na,c
8,9,c,c,c,c,c,c,c
8,10,na,na,na,na,na,na,na
9,1,c,c,c,c,c,c,c
9,2,c,c,c,c,c,c,c
9,3,c,c,c,c,c,c,c
9,4,na,na,na,na,na,na,c
10,1,c,c,c,c,c,c,c
10,2,c,c,c,c,c,c,c
10,3,c,c,c,c,c,c,c
10,4,c,c,c,c,c,c,c
10,5,c,c,c,c,c,c,c
10,6,na,na,c,na,na,na,na
10,7,c,c,c,c,c,c,c
10,8,c,na,na,na,c,na,na
10,9,c,na,na,c,c,na,na
10,10,na,na,na,na,na,na,na
10,11,c,c,c,c,c,c,c
10,12,c,c,c,c,c,c,c
10,13,na,na,na,na,na,na,na
10,14,na,na,na,na,na,na,na
11,1,c,na,na,na,c,na,na
11,2,c,na,na,na,c,na,na
11,3,na,na,na,na,na,na,na
11,4,c,na,na,na,c,na,na
11,5,na,na,na,na,c,na,na
11,6,na,na,na,na,c,na,na
11,7,na,na,na,na,c,na,na
11,8,na,na,na,na,na,na,na
11,9,c,na,na,na,c,na,na
11,10,na,na,na,na,c,na,na
11,11,na,na,na,na,na,na,na
11,12,na,na,na,na,na,na,na
11,13,na,na,na,na,na,na,na
12,1,c,c,c,c,c,c,c
12,2,c,c,c,c,c,c,c
12,3,c,c,c,c,c,c,c
12,4,c,c,c,c,c,c,c
12,5,na,na,na,na,na,na,na
12,6,c,c,c,c,c,c,c
12,7,c,c,c,c,c,c,c
12,8,c,c,c,c,c,c,c
12,9,c,c,c,c,c,c,c
12,10,na,na,na,na,na,na,na
12,11,na,na,na,na,na,na,na
13,1,na,na,na,na,na,na,na
13,2,na,na,na,na,na,na,na
13,3,na,na,na,na,na,na,na
13,4,na,na,na,na,na,na,na
13,5,na,na,na,na,na,na,na
13,6,na,na,na,na,na,na,na
13,7,na,na,na,na,na,na,na
13,8,na,na,na,na,na,na,na
13,9,c,c,c,c,c,c,c
13,10,na,na,na,na,na,na,na
13,11,c,na,na,na,c,c,c
13,12,na,na,na,na,na,na,na
