"Thématiques","Critères","Tests","Sélection agrément",Créer DAE
"1","1","1","na",nc
"1","1","2","na",na
"1","1","3","na",na
"1","1","4","na",na
"1","1","5","na",na
"1","1","6","na",na
"1","1","7","na",na
"1","1","8","na",na
"1","2","1","81",81
"1","2","2","81",81
"1","2","3","81",81
"1","2","4","81",81
"1","2","5","81",81
"1","2","6","81",81
"1","3","1","50",50
"1","3","2","50",50
"1","3","3","50",50
"1","3","4","50",50
"1","3","5","50",50
"1","3","6","50",50
"1","3","7","50",50
"1","3","8","50",50
"1","3","9","50",50
"1","4","1","81",81
"1","4","2","81",81
"1","4","3","81",81
"1","4","4","81",81
"1","4","5","81",81
"1","4","6","81",81
"1","4","7","81",81
"1","5","1","50",50
"1","5","2","50",50
"1","6","1","50",50
"1","6","2","50",50
"1","6","3","50",50
"1","6","4","50",50
"1","6","5","50",50
"1","6","6","50",50
"1","6","7","50",50
"1","6","8","50",50
"1","6","9","50",50
"1","6","10","50",50
"1","7","1","50",50
"1","7","2","50",50
"1","7","3","50",50
"1","7","4","50",50
"1","7","5","50",50
"1","7","6","50",50
"1","8","1","",
"1","8","2","",
"1","8","3","",
"1","8","4","",
"1","8","5","",
"1","9","1","81",81
"1","9","2","81",81
"1","9","3","81",81
"1","9","4","81",81
"1","9","5","81",81
"2","1","1","81",81
"2","2","1","81",81
"3","1","1","na",na
"3","1","2","na",na
"3","1","3","na",na
"3","1","4","na",na
"3","1","5","na",na
"3","1","6","na",na
"3","2","1","",
"3","2","2","",
"3","2","3","",
"3","2","4","",
"3","2","5","",
"3","3","1","",
"3","3","2","",
"3","3","3","",
"3","3","4","",
"4","1","1","na",na
"4","1","2","na",na
"4","1","3","na",na
"4","2","1","50",50
"4","2","2","50",50
"4","2","3","50",50
"4","3","1","81",81
"4","3","2","81",81
"4","4","1","50",50
"4","5","1","",
"4","5","2","",
"4","6","1","",
"4","6","2","",
"4","7","1","81",81
"4","8","1","50",50
"4","8","2","50",50
"4","9","1","50",50
"4","10","1","na",na
"4","11","1","81",81
"4","11","2","81",81
"4","11","3","81",81
"4","12","1","81",81
"4","12","2","81",81
"4","13","1","81",81
"4","13","2","81",81
"5","1","1","81",81
"5","2","1","81",81
"5","3","1","nc",nc
"5","4","1","50",50
"5","5","1","81",81
"5","6","1","50",50
"5","6","2","50",50
"5","6","3","50",50
"5","7","1","na",na
"5","7","2","na",na
"5","7","3","na",na
"5","7","4","na",na
"5","7","5","na",na
"5","8","1","81",81
"6","1","1","na",nc
"6","1","2","na",nc
"6","1","3","na",na
"6","1","4","na",na
"6","1","5","na",na
"6","2","1","na",na
"7","1","1","na",nc
"7","1","2","na",nc
"7","1","3","na",nc
"7","2","1","50",50
"7","2","2","50",50
"7","3","1","na",nc
"7","3","2","na",nc
"7","4","1","81",81
"7","5","1","",
"7","5","2","",
"7","5","3","",
"8","1","1","81",81
"8","1","2","81",81
"8","1","3","81",81
"8","2","1","50",50
"8","3","1","nc",nc
"8","4","1","na",na
"8","5","1","c",c
"8","6","1","50",50
"8","7","1","",
"8","8","1","",
"8","9","1","81",81
"8","10","1","50",50
"8","10","2","50",50
"9","1","1","na",na
"9","1","2","na",na
"9","1","3","nc",nc
"9","2","1","81",81
"9","3","1","81",81
"9","3","2","81",81
"9","3","3","81",81
"9","4","1","81",81
"9","4","2","81",81
"10","1","1","81",81
"10","1","2","81",81
"10","1","3","81",81
"10","2","1","50",50
"10","3","1","c",c
"10","4","1","",
"10","4","2","",
"10","4","3","",
"10","5","1","",
"10","5","2","",
"10","5","3","",
"10","6","1","na",c
"10","7","1","c",nc
"10","8","1","50",50
"10","9","1","",
"10","9","2","",
"10","9","3","",
"10","9","4","",
"10","10","1","50",50
"10","10","2","50",50
"10","10","3","50",50
"10","10","4","50",50
"10","11","1","",
"10","11","2","",
"10","12","1","",
"10","13","1","",
"10","13","2","",
"10","13","3","",
"10","14","1","81",81
"10","14","2","81",81
"11","1","1","na",nc
"11","1","2","na",na
"11","1","3","na",na
"11","2","1","na",c
"11","2","2","na",na
"11","2","3","na",na
"11","2","4","na",na
"11","2","5","na",na
"11","2","6","na",nc
"11","3","1","",
"11","3","2","",
"11","4","1","",
"11","4","2","",
"11","4","3","",
"11","5","1","na",nc
"11","6","1","na",nc
"11","7","1","",
"11","8","1","81",81
"11","8","2","81",81
"11","8","3","81",81
"11","9","1","na",nc
"11","9","2","na",c
"11","10","1","na",nc
"11","10","2","na",na
"11","10","3","na",nc
"11","10","4","na",nc
"11","10","5","na",na
"11","10","6","na",na
"11","10","7","na",na
"11","11","1","",
"11","11","2","",
"11","12","1","",
"11","12","2","",
"11","13","1","",
"12","1","1","",
"12","2","1","",
"12","3","1","",
"12","3","2","",
"12","3","3","",
"12","4","1","",
"12","4","2","",
"12","4","3","",
"12","5","1","",
"12","5","2","",
"12","5","3","",
"12","6","1","81",81
"12","7","1","81",81
"12","7","2","81",81
"12","8","1","c",c
"12","8","2","c",c
"12","9","1","c",c
"12","10","1","81",81
"12","11","1","81",81
"13","1","1","50",50
"13","1","2","50",50
"13","1","3","50",50
"13","1","4","50",50
"13","2","1","81",81
"13","3","1","50",50
"13","4","1","50",50
"13","5","1","50",50
"13","6","1","50",50
"13","7","1","50",50
"13","7","2","50",50
"13","7","3","50",50
"13","8","1","50",50
"13","8","2","50",50
"13","9","1","",
"13","10","1","81",81
"13","10","2","81",81
"13","11","1","81",81
"13","12","1","81",81
"13","12","2","81",81
"13","12","3","81",81
