Thématiques,"Cyclop","GreenITfr",Evaluation
1,"9","5101","NC"
1,"10","5102","C"
1,"11","5103","NC"
1,"12","5104","C"
1,"34","5105","NA"
1,"13","5106","NC"
1,"35","5107","C"
1,"36","5108","C"
1,"37","5109","C"
2,"1","5201","NC"
2,"2","5202","C"
2,"3","5203","C"
2,"4","5204","C"
2,"6","5205","C"
2,"7","5206","NC"
2,"8","5207","C"
3,"5","5301","C"
3,"14","5302","NC"
3,"15","5303","C"
3,"16","5304","C"
3,"17","5305","C"
3,"18","5306","NC"
4,"20","5401","C"
4,"21","5402","NC"
4,"22","5403","C"
4,"23","5404","C"
4,"24","5405","NC"
4,"25","5406","C"
4,"26","5407","NC"
4,"27","5408","C"
3,"28","5409","NC"
5,"29","5501","C"
5,"30","5502","C"
5,"31","5503","NC"
5,"19","5504","C"
5,"32","5505","NC"
5,"33","5506","C"
6,"38","5601","C"
6,"39","5602","NA"
6,"40","5603","NA"
6,"41","5604","NC"
6,"42","5605","NA"
7,"43","5701","NA"
7,"44","5702","C"
8,"45","5801","C"
8,"46","5802","NA"
8,"47","5803","C"
8,"48","5804","C"
8,"49","5805","C"
8,"50","5806","NA"
