"Thématiques","Critères","Accueil"
"1","1","25"
"1","3","50"
"1","5","50"
"1","6","50"
"1","7","50"
"3","1","25"
"4","1","25"
"4","2","50"
"4","4","50"
"4","8","50"
"4","9","50"
"4","10","25"
"5","3","25"
"5","4","50"
"5","6","50"
"5","7","25"
"6","1","25"
"6","2","25"
"7","1","25"
"7","2","50"
"7","3","25"
"8","2","50"
"8","3","25"
"8","4","25"
"8","5","25"
"8","6","50"
"8","10","50"
"9","1","25"
"10","2","50"
"10","3","25"
"10","6","25"
"10","7","25"
"10","8","50"
"10","10","50"
"11","1","25"
"11","2","25"
"11","5","25"
"11","6","25"
"11","9","25"
"11","10","25"
"12","8","25"
"12","9","25"
"13","1","50"
"13","3","50"
"13","4","50"
"13","5","50"
"13","6","50"
"13","7","50"
"13","8","50"
